country_code,postal_code,latitude,longitude,region_id
PAK,13171,35.8937,75.5166,Federal Capial &AJK::Mushtamba||Rahim Kot||Mera Khurd||Noon Bagla||Maira Saru||Pajja Sharif||Jandali Janoobi||Sulmia
PAK,13180,34.2292,73.8028,Federal Capial &AJK::Hattian Bala
PAK,13181,34.2292,73.8028,Federal Capial &AJK::Reshian||Lamnia||Sharian
PAK,13190,34.15,73.8167,Federal Capial &AJK::Chenari
PAK,13191,34.477,73.7948,Federal Capial &AJK::Chokothi||Gujarbandi
PAK,13200,27.2833,67.6667,Federal Capial &AJK::Kahuri
PAK,13201,27.2833,67.6667,Federal Capial &AJK::Saidpur||Battal||Saryan||Rajpain
PAK,13210,32.1762,71.8219,Federal Capial &AJK::Pattika
PAK,13211,32.1762,71.8219,Federal Capial &AJK::Devlian||Behari||Bat Dara||Kunkian||Machira
PAK,13220,34.4119,73.4325,Federal Capial &AJK::Karnah
PAK,13221,34.4119,73.4325,Federal Capial &AJK::Bhalgran||Jura Bazar
PAK,13230,34.8333,74.3667,Federal Capial &AJK::Athmaqam
PAK,13231,34.8333,74.3667,Federal Capial &AJK::Kel||Phulwaih||Dudnial||Dawarian||Dosute||Kutton||Sargan||Neelam||Sharda||Lawat||Kundal Shah
PAK,14100,35.4,73.8333,Federal Capial &AJK::Chilas (Lsg)
PAK,14101,35.4,73.8333,Federal Capial &AJK::Thore||Gunner Form||Samagial||Gumari||Jaglot Tangir
PAK,14200,35.6667,74.6,Federal Capial &AJK::Bunji
PAK,14201,35.4833,74.7667,Federal Capial &AJK::Harcho||Dashkin||Lower Doyan
PAK,14300,35.3667,74.85,Federal Capial &AJK::Astore
PAK,14301,34.9881,74.7039,Federal Capial &AJK::Minimarg||Rattu||Pakora||Rampur||Gudai||Mir Malik||Gurikot||Darela Bala||Khangrol||Tharisling||Gultari (Seasonal)||Peena
PAK,14400,31.7875,73.5556,Federal Capial &AJK::Chilam
PAK,15100,35.2446,73.9909,Federal Capial &AJK::Gilgit Gpo
PAK,15101,35.2446,73.9909,Federal Capial &AJK::Nomal||Ghulapur||Minawar||Jutal||Rahimabad||Singal||Shyrote||Bubar||Naltar||Sassi||Jagir Basin||Sher Qilla||Jaglote Sai
PAK,15150,35.2446,73.9909,Federal Capial &AJK::Jutial
PAK,15200,34.3563,73.2067,Federal Capial &AJK::Gahkooch
PAK,15201,34.3563,73.2067,Federal Capial &AJK::Sumal||Chatore Khand||Ashkomen||Gulddas||Immit
PAK,15300,36.2333,73.4333,Federal Capial &AJK::Gupis
PAK,15301,32.5405,71.9486,Federal Capial &AJK::Chhashi||Yasin||Sindhi||Pingal||Burkulti||Khalti||Phander||Qurqulti||Harf
PAK,15350,36.1833,72.75,Federal Capial &AJK::Teru
PAK,15400,29.9667,71.35,Federal Capial &AJK::Sikandarabad
PAK,15401,30.8958,71.8333,Federal Capial &AJK::Hussainabad||Thole||Mina Pin||Mayun||Ghulmit
PAK,15500,36.25,74.2833,Federal Capial &AJK::Chhalat
PAK,15501,36.25,74.2833,Federal Capial &AJK::Chaprote||Budlos
PAK,15550,27.3833,67.9167,Federal Capial &AJK::Nasirabad
PAK,15600,36.3,74.6167,Federal Capial &AJK::Aliabad
