country_code,postal_code,latitude,longitude,region_id,source
che,3270,7.2753,47.0435,BE::Aarberg::3270,cadastre
che,3271,7.2691,47.0219,BE::Radelfingen::Radelfingen b. Aarberg,cadastre
che,3272,7.2259,47.0648,BE::Epsach||Walperswil,cadastre
che,3273,7.2676,47.0602,BE::Kappelen::3273,cadastre
che,3274,7.2483,47.0796,BE::Merzligen;Hermrigen;Bühl::Bühl b. Aarberg||Hermrigen||Merzligen,cadastre
che,3280,7.1065,46.9224,FR::Greng||Meyriez||Murten,cadastre
che,3282,7.2573,47.0402,BE::Bargen (BE)::Bargen BE,cadastre
che,3283,7.2412,47.0142,BE::Kallnach::Kallnach||Niederried b. Kallnach,cadastre
che,3284,7.2111,46.9954,FR::Fräschels::3284,cadastre
che,3285,7.1579,46.95,FR::Galmiz::3285,cadastre
che,3286,7.124,46.9354,FR::Muntelier::3286,cadastre
che,3292,7.3224,47.1006,BE::Lyss::Busswil BE,cadastre
che,3293,7.3434,47.1209,BE::Dotzigen::3293,cadastre
che,3294,7.3577,47.1393,BE::Büren an der Aare||Meienried,cadastre
che,3295,7.4069,47.1545,BE::Rüti bei Büren::Rüti b. Büren,cadastre
che,3296,7.4275,47.1639,BE::Arch::3296,cadastre
che,3297,7.4544,47.1731,BE::Leuzigen::3297,cadastre
che,3298,7.4093,47.127,BE::Oberwil bei Büren::Oberwil b. Büren,cadastre
che,3302,7.4822,47.0175,BE::Moosseedorf::3302,cadastre
che,3303,7.4942,47.0471,BE::Zuzwil (BE);Jegenstorf::Jegenstorf||Münchringen||Ballmoos||Zuzwil BE,cadastre
che,3305,7.4665,47.0671,BE::Iffwil;Jegenstorf::Scheunen||Iffwil,cadastre
che,3306,7.4806,47.0845,BE::Fraubrunnen::Etzelkofen,cadastre
che,3307,7.469,47.0865,SO::Messen::Brunnenthal,cadastre
che,3308,7.5147,47.0765,BE::Fraubrunnen::Grafenried,cadastre
che,3309,7.5454,47.0715,BE::Fraubrunnen;Kernenried::Kernenried||Zauggenried,cadastre
che,3312,7.5169,47.0841,BE::Fraubrunnen::3312,cadastre
che,3313,7.5137,47.0958,BE::Fraubrunnen::Büren zum Hof,cadastre
che,3314,7.5244,47.1104,BE::Fraubrunnen::Schalunen,cadastre
che,3315,7.5368,47.1392,BE::Bätterkinden::Bätterkinden||Kräiligen,cadastre
che,3317,7.4858,47.1047,BE::Fraubrunnen::Limpach||Mülchi,cadastre
che,3321,47.0168,7.4839,Canton de Berne::Bern-Mittelland District::Moosseedorf::Schönbühl EKZ,geonames
che,3322,7.5068,47.0278,BE::Mattstetten||Urtenen-Schönbühl,cadastre
che,3323,7.5337,47.0175,BE::Bäriswil::Bäriswil BE,cadastre
che,3324,7.5537,47.0453,BE::Hindelbank||Mötschwil,cadastre
che,3325,7.5542,47.029,BE::Krauchthal::Hettiswil b. Hindelbank,cadastre
che,3326,7.5685,47.009,BE::Krauchthal::3326,cadastre
che,3360,7.7144,47.1945,BE::Herzogenbuchsee::3360,cadastre
che,3362,7.6915,47.1844,BE::Niederönz::3362,cadastre
che,3363,7.6943,47.1794,BE::Herzogenbuchsee::Oberönz,cadastre
che,3365,7.6673,47.1502,BE::Seeberg::Grasswil||Seeberg,cadastre
che,3366,7.712,47.1697,BE::Bettenhausen::Bettenhausen||Bollodingen,cadastre
che,3367,7.7329,47.1625,BE::Ochlenberg||Thörigen,cadastre
che,3368,7.7577,47.1846,BE::Bleienbach::3368,cadastre
che,3372,7.692,47.1989,BE::Heimenhausen::Wanzwil,cadastre
che,3373,7.6907,47.2101,BE::Heimenhausen::Röthenbach Herzogenbuchsee||Heimenhausen,cadastre
che,3374,7.6557,47.2171,BE::Wangenried::3374,cadastre
che,3375,7.6737,47.2014,BE::Inkwil::3375,cadastre
che,3376,7.7119,47.2205,BE::Berken||Graben,cadastre
che,3377,7.6829,47.2289,BE::Walliswil bei Wangen::Walliswil b. Wangen,cadastre
che,3380,7.6764,47.2345,BE::Walliswil bei Niederbipp;Wangen an der Aare::Walliswil b. Niederbipp||Wangen an der Aare,cadastre
che,3400,7.6247,47.0565,BE::Burgdorf::3400,cadastre
che,3401,47.0537,7.6191,Canton de Berne::Emmental District::Burgdorf,geonames
che,3412,7.6599,47.0648,BE::Heimiswil::3412,cadastre
che,3413,7.6756,47.0768,BE::Heimiswil::Kaltacker,cadastre
che,3414,7.6205,47.0395,BE::Oberburg::3414,cadastre
che,3415,7.6545,47.01,BE::Rüegsau;Hasle bei Burgdorf::Hasle b. Burgdorf||Schafhausen im Emmental||Rüegsauschachen,cadastre
che,3416,7.7348,47.0645,BE::Affoltern im Emmental::3416,cadastre
che,3417,7.6745,47.0248,BE::Rüegsau::3417,cadastre
che,3418,7.6918,47.0339,BE::Rüegsau::Rüegsbach,cadastre
che,3419,7.6162,46.9932,BE::Hasle bei Burgdorf::Biembach im Emmental,cadastre
che,3421,7.5837,47.0562,BE::Lyssach;Oberburg;Rüti bei Lyssach::Lyssach||Lyssach||Rüti b. Lyssach,cadastre
che,3422,7.579,47.0837,BE::Rüdtligen-Alchenflüh;Kirchberg (BE)::Kirchberg BE||Rüdtligen||Alchenflüh,cadastre
che,3423,7.5927,47.0956,BE::Ersigen::3423,cadastre
che,3424,7.6102,47.113,BE::Ersigen::Niederösch||Oberösch,cadastre
che,3425,7.6033,47.1399,BE::Koppigen||Willadingen,cadastre
che,3426,7.5517,47.0957,BE::Aefligen::3426,cadastre
che,3427,7.5573,47.1268,BE::Utzenstorf::3427,cadastre
che,3428,7.5558,47.1524,BE::Wiler bei Utzenstorf::Wiler b. Utzenstorf,cadastre
che,3429,7.6415,47.1454,BE::Hellsau||Höchstetten,cadastre
che,3432,7.6844,47.0014,BE::Lützelflüh::Lützelflüh-Goldbach,cadastre
che,3433,7.6945,46.9856,BE::Rüderswil::Schwanden im Emmental,cadastre
che,3434,7.6764,46.9595,BE::Landiswil::Obergoldbach||Landiswil,cadastre
che,3435,7.7084,46.9985,BE::Lützelflüh::Ramsei,cadastre
che,3436,7.7413,46.9758,BE::Rüderswil::Zollbrück,cadastre
che,3437,7.7196,46.9828,BE::Rüderswil::3437,cadastre
che,3438,7.7379,46.9665,BE::Lauperswil::3438,cadastre
che,3439,7.7379,46.9886,BE::Lützelflüh::Ranflüh,cadastre
che,3452,7.7259,47.01,BE::Lützelflüh::Grünenmatt,cadastre
che,3453,7.761,47.012,BE::Trachselwald::Heimisbach,cadastre
che,3454,7.745,47.0278,BE::Sumiswald::3454,cadastre
che,3455,7.7411,47.0249,BE::Sumiswald::Grünen,cadastre
che,3456,7.7433,47.017,BE::Trachselwald::3456,cadastre
che,3457,7.7971,47.0431,BE::Sumiswald::Wasen im Emmental,cadastre
che,3462,7.7534,47.0626,BE::Affoltern im Emmental::Weier im Emmental,cadastre
che,3463,7.7491,47.0794,BE::Affoltern im Emmental::Häusernmoos im Emmental,cadastre
che,3464,7.7436,47.0947,BE::Walterswil (BE)::Schmidigen-Mühleweg,cadastre
che,3465,7.7914,47.0905,BE::Dürrenroth::3465,cadastre
che,3472,7.653,47.106,BE::Rumendingen||Wynigen,cadastre
che,3473,7.6393,47.1263,BE::Alchenstorf::3473,cadastre
che,3474,7.7041,47.118,BE::Wynigen::Rüedisbach,cadastre
che,3475,7.6989,47.1492,BE::Seeberg::Riedtwil||Hermiswil,cadastre
che,3476,7.713,47.1406,BE::Ochlenberg::Oschwand,cadastre
che,3503,7.5948,46.8896,BE::Konolfingen::Gysenstein,cadastre
che,3504,7.6475,46.8788,BE::Niederhünigen||Oberhünigen,cadastre
che,3506,7.6417,46.9071,BE::Grosshöchstetten::3506,cadastre
che,3507,7.6289,46.93,BE::Biglen::3507,cadastre
che,3508,7.6681,46.9361,BE::Arni (BE)::Arni BE,cadastre
che,3510,7.6179,46.8679,BE::Freimettigen||Häutligen||Konolfingen,cadastre
che,3512,7.6148,46.948,BE::Walkringen::3512,cadastre
che,3513,7.6234,46.9657,BE::Walkringen::Bigenthal,cadastre
che,3531,7.6749,46.9166,BE::Oberthal::3531,cadastre
che,3532,7.6542,46.899,BE::Mirchel||Zäziwil,cadastre
che,3533,7.695,46.893,BE::Bowil::3533,cadastre
che,3534,7.7245,46.9206,BE::Signau::3534,cadastre
che,3535,7.7348,46.9286,BE::Signau::Schüpbach,cadastre
